timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712227222848,4422,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-185,text,false,,4058,154,1881,1881,http://localhost/orangehrm-5.6/web/index.php/auth/login,4259,0,115
1712227227261,9,HTTP Request-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-324,text,false,,3125,0,1881,1881,http://localhost/orangehrm-5.6/web/index.php/auth/login,0,0,9
1712227222848,4323,HTTP Request-0,302,Found,Thread Group(10000 ) 1-185,text,true,,933,154,1881,1881,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,4259,0,115
1712227222850,4420,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-270,text,false,,4058,154,1881,1881,http://localhost/orangehrm-5.6/web/index.php/auth/login,4263,0,112
1712227227192,78,HTTP Request-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-153,text,false,,3125,0,1881,1881,http://localhost/orangehrm-5.6/web/index.php/auth/login,0,0,78
1712227227190,80,HTTP Request-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-256,text,false,,3125,0,1881,1881,http://localhost/orangehrm-5.6/web/index.php/auth/login,0,0,80
1712227227854,34,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-2022,text,false,,2629,0,2027,2027,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,34
1712227222854,4314,HTTP Request-0,302,Found,Thread Group(10000 ) 1-215,text,true,,933,154,1881,1881,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,4244,0,108
1712227224929,3,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-1236,text,false,,2629,0,1557,1557,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,3
1712227222850,4318,HTTP Request-0,302,Found,Thread Group(10000 ) 1-270,text,true,,933,154,1881,1881,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,4263,0,112
1712227227191,79,HTTP Request-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-270,text,false,,3125,0,1881,1881,http://localhost/orangehrm-5.6/web/index.php/auth/login,0,0,79
1712227225031,2,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-1338,text,false,,2629,0,1557,1557,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,2
1712227227853,2,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-2019,text,false,,2629,0,2027,2027,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,2
